Open,High,Low,Close,Volume
749.0,749.0,725.0,749.0,22279100.0
756.0,756.0,730.0,730.0,22236187.0
751.0,751.0,740.0,751.0,31110796.0
740.0,740.0,715.0,715.0,24070284.0
734.0,734.0,699.0,734.0,42413482.0
785.0,785.0,702.0,702.0,15291417.0
770.0,770.0,725.0,770.0,11885951.0
726.0,726.0,670.0,670.0,6202588.0
680.0,680.0,594.0,680.0,25230100.0
667.0,667.0,660.0,660.0,287170.0
687.0,687.0,680.0,687.0,1574600.0
744.0,744.0,700.0,700.0,10711884.0
740.0,740.0,690.0,740.0,40326364.0
739.0,739.0,700.0,700.0,31255827.0
765.0,765.0,721.0,765.0,34056347.0
764.0,764.0,723.0,723.0,41379236.0
787.0,787.0,748.0,787.0,53590197.0
831.0,831.0,784.0,784.0,52330864.0
822.0,822.0,766.0,822.0,66473957.0
824.0,824.0,776.0,776.0,48387865.0
852.0,852.0,813.0,852.0,65853297.0
888.0,888.0,838.0,838.0,91614291.0
910.0,910.0,815.0,910.0,130046377.0
939.0,939.0,850.0,850.0,61903748.0
1000.0,1000.0,936.0,1000.0,157426240.0
955.0,955.0,845.0,845.0,153067578.0
875.0,875.0,828.0,875.0,70799650.0
814.0,814.0,779.0,779.0,30262975.0
821.0,821.0,791.0,821.0,75251218.0
804.0,804.0,758.0,758.0,51428772.0
755.0,755.0,746.0,755.0,16200829.0
753.0,753.0,746.0,746.0,17521598.0
765.0,765.0,744.0,765.0,35781874.0
757.0,757.0,728.0,728.0,38522632.0
726.0,726.0,719.0,726.0,12980031.0
727.0,727.0,721.0,721.0,11739379.0
729.0,729.0,721.0,729.0,8502428.0
730.0,730.0,715.0,715.0,19884891.0
727.0,727.0,716.0,727.0,16839330.0
732.0,732.0,720.0,720.0,13329862.0
740.0,740.0,726.0,740.0,11219692.0
739.0,739.0,734.0,734.0,15333803.0
744.0,744.0,732.0,744.0,20084904.0
758.0,758.0,733.0,733.0,24608597.0
754.0,754.0,740.0,754.0,28186301.0
737.0,737.0,724.0,724.0,10794169.0
732.0,732.0,721.0,732.0,7633236.0
735.0,735.0,725.0,725.0,11093084.0
729.0,729.0,706.0,729.0,12688880.0
727.0,727.0,709.0,709.0,14935615.0
745.0,745.0,722.0,745.0,14402288.0
756.0,756.0,745.0,745.0,9571027.0
767.0,767.0,749.0,767.0,13899962.0
780.0,780.0,755.0,755.0,19608879.0
766.0,766.0,757.0,766.0,17437789.0
759.0,759.0,740.0,740.0,20279439.0
743.0,743.0,733.0,743.0,8250209.0
735.0,735.0,716.0,716.0,9134077.0
749.0,749.0,726.0,749.0,29778694.0
728.0,728.0,720.0,720.0,22021006.0
723.0,723.0,711.0,723.0,6898033.0
725.0,725.0,715.0,715.0,12888985.0
734.0,734.0,719.0,734.0,17667225.0
715.0,715.0,700.0,700.0,16704357.0
699.0,699.0,690.0,699.0,11916616.0
690.0,690.0,684.0,684.0,13735671.0
690.0,690.0,680.0,690.0,7441866.0
682.0,682.0,676.0,676.0,10266502.0
687.0,687.0,673.0,687.0,11519190.0
679.0,679.0,673.0,673.0,10016237.0
677.0,677.0,665.0,677.0,9770117.0
669.0,669.0,665.0,665.0,8153503.0
670.0,670.0,660.0,670.0,15219265.0
762.0,762.0,750.0,750.0,49968524.0
760.0,760.0,750.0,760.0,25925141.0
755.0,755.0,749.0,749.0,11292183.0
750.0,750.0,742.0,750.0,11410627.0
747.0,747.0,739.0,739.0,6998419.0
750.0,750.0,737.0,750.0,8718734.0
755.0,755.0,744.0,744.0,12680177.0
751.0,751.0,744.0,751.0,12117258.0
750.0,750.0,743.0,743.0,6602367.0
745.0,745.0,736.0,745.0,3314343.0
749.0,749.0,730.0,730.0,4029498.0
739.0,739.0,725.0,739.0,8040885.0
